date,rain,obs_flow,et,temp,,,
1967-08-31,0.85,,3.37,26.8,,,
1967-09-01,0.43,,4.12,24.9,,,
1967-09-02,4.16,,3.7,27.2,,,
1967-09-03,12.7,,3,24.9,,,
1967-09-04,8.27,,2.07,21.5,,,
1967-09-05,1.11,,1.88,23.4,,,
1967-09-06,6.33,,2.22,24.2,,,
1967-09-07,3.06,,2.89,24.8,,,
1967-09-08,21.66,,2.48,23.5,,,
1967-09-09,0.14,,2.21,22.7,,,
1967-09-10,34.56,,2.45,23.1,,,
1967-09-11,5.3,,2.43,18.8,,,
1967-09-12,0,,4.1,19.6,,,
1967-09-13,0,,4.66,19.3,,,
1967-09-14,0.08,,4.82,19.7,,,
1967-09-15,0,,4.38,20.3,,,
1967-09-16,0,,3.49,18.3,,,
1967-09-17,0,,2.72,18.1,,,
1967-09-18,0,,2.77,17.8,,,
1967-09-19,0.1,,2.75,18.4,,,
1967-09-20,0.1,,3.06,19.5,,,
1967-09-21,0,,3.43,19.4,,,
1967-09-22,0.47,,3,18.3,,,
1967-09-23,0.14,,3,18.8,,,
1967-09-24,0,,2.78,17.1,,,
1967-09-25,0,,3.09,17.8,,,
